No. 	Pal 	Element 	Work Suitability
1 	Lamball ImageLamball 	Palworld - Neutral Icon 	
HandiworkHandiwork Lv. 1
TransportingTransporting Lv. 1
FarmingFarming Lv. 1 - Wool
2 	Cattiva ImageCattiva 	Palworld - Neutral Icon 	
HandiworkHandiwork Lv. 1
TransportingTransporting Lv. 1
GatheringGathering Lv. 1
MiningMining Lv. 1
3 	Chikipi ImageChikipi 	Palworld - Neutral Icon 	
GatheringGathering Lv. 1
FarmingFarming Lv. 1 - Egg
4 	Lifmunk ImageLifmunk 	Palworld - Grass Icon 	
PlantingPlanting Lv. 1
HandiworkHandiwork Lv. 1
LumberingLumbering Lv. 1
Medicine ProductionMedicine Lv. 1
GatheringGathering Lv. 1
5 	Foxparks ImageFoxparks 	Palworld - Fire Icon 	
KindlingKindling Lv. 1
5B 	Foxparks Cryst ImageFoxparks Cryst 	Palworld - Ice Icon 	
CoolingCooling Lv. 1
6 	Fuack ImageFuack 	Palworld - Water Icon 	
HandiworkHandiwork Lv. 1
TransportingTransporting Lv. 1
WateringWatering Lv. 1
6B 	Fuack Ignis ImageFuack Ignis 	Palworld - Fire Icon Palworld - Water Icon 	
KindlingKindling Lv. 1
HandiworkHandiwork Lv. 1
TransportingTransporting Lv. 1
WateringWatering Lv. 1
7 	Sparkit ImageSparkit 	Palworld - Electric Icon 	
HandiworkHandiwork Lv. 1
TransportingTransporting Lv. 1
ElectricityElectricity Lv. 1
8 	Tanzee ImageTanzee 	Palworld - Grass Icon 	
PlantingPlanting Lv. 1
HandiworkHandiwork Lv. 1
LumberingLumbering Lv. 1
TransportingTransporting Lv. 1
GatheringGathering Lv. 1
9 	Rooby ImageRooby 	Palworld - Fire Icon 	
KindlingKindling Lv. 1
10 	Pengullet ImagePengullet 	Palworld - Water Icon Palworld - Ice Icon 	
HandiworkHandiwork Lv. 1
TransportingTransporting Lv. 1
WateringWatering Lv. 1
CoolingCooling Lv. 1
10B 	Pengullet Lux ImagePengullet Lux 	Palworld - Water Icon Palworld - Electric Icon 	
HandiworkHandiwork Lv. 1
TransportingTransporting Lv. 1
WateringWatering Lv. 1
ElectricityElectricity Lv. 2
11 	Penking ImagePenking 	Palworld - Water Icon Palworld - Ice Icon 	
HandiworkHandiwork Lv. 2
TransportingTransporting Lv. 2
WateringWatering Lv. 2
MiningMining Lv. 2
CoolingCooling Lv. 2
11B 	Penking Lux ImagePenking Lux 	Palworld - Water Icon Palworld - Electric Icon 	
HandiworkHandiwork Lv. 2
TransportingTransporting Lv. 2
WateringWatering Lv. 2
ElectricityElectricity Lv. 2
MiningMining Lv. 2
12 	Jolthog ImageJolthog 	Palworld - Electric Icon 	
ElectricityElectricity Lv. 1
12B 	Jolthog Cryst ImageJolthog Cryst 	Palworld - Ice Icon 	
CoolingCooling Lv. 1
13 	Gumoss ImageGumoss 	Palworld - Grass Icon Palworld - Ground Icon 	
PlantingPlanting Lv. 1
13B 	Special Flower Gumoss ImageSpecial Flower Gumoss 	Palworld - Grass Icon Palworld - Ground Icon 	
PlantingPlanting Lv. 1
14 	Vixy ImageVixy 	Palworld - Neutral Icon 	
GatheringGathering Lv. 1
FarmingFarming Lv. 1 - Various
15 	Hoocrates ImageHoocrates 	Palworld - Dark Icon 	
GatheringGathering Lv. 1
16 	Teafant ImageTeafant 	Palworld - Water Icon 	
WateringWatering Lv. 1
17 	Depresso ImageDepresso 	Palworld - Dark Icon 	
HandiworkHandiwork Lv. 1
TransportingTransporting Lv. 1
MiningMining Lv. 1
18 	Cremis ImageCremis 	Palworld - Neutral Icon 	
GatheringGathering Lv. 1
FarmingFarming Lv. 1 - Wool
19 	Daedream ImageDaedream 	Palworld - Dark Icon 	
HandiworkHandiwork Lv. 1
TransportingTransporting Lv. 1
GatheringGathering Lv. 1
20 	Rushoar ImageRushoar 	Palworld - Ground Icon 	
MiningMining Lv. 1
21 	Nox ImageNox 	Palworld - Dark Icon 	
GatheringGathering Lv. 1
22 	Fuddler ImageFuddler 	Palworld - Ground Icon 	
